#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 190  0.784939  3.7356  3.3063  0.9224  3.9765  2.9267  2.4489  2.2791  2.2098
 191  0.785103  3.7351  3.2894  0.9372  3.9452  2.8919  2.4123  2.2416  2.1717
 192  0.785266  3.7345  3.2725  0.9520  3.9134  2.8566  2.3754  2.2039  2.1333
 193  0.785428  3.7340  3.2556  0.9670  3.8813  2.8212  2.3383  2.1660  2.0948
 194  0.785591  3.7336  3.2386  0.9821  3.8488  2.7854  2.3010  2.1280  2.0561
 195  0.785753  3.7331  3.2217  0.9972  3.8161  2.7495  2.2636  2.0899  2.0175
 196  0.785914  3.7326  3.2049  1.0124  3.7829  2.7133  2.2261  2.0516  1.9786
 197  0.786075  3.7322  3.1879  1.0277  3.7493  2.6766  2.1880  2.0129  1.9394
 198  0.786234  3.7318  3.1708  1.0432  3.7152  2.6396  2.1497  1.9739  1.8999
 199  0.786390  3.7313  3.1532  1.0590  3.6802  2.6016  2.1103  1.9339  1.8593
 200  0.786544  3.7309  3.1352  1.0753  3.6443  2.5625  2.0699  1.8929  1.8178
 201  0.786695  3.7304  3.1170  1.0919  3.6077  2.5228  2.0288  1.8512  1.7755
 202  0.786844  3.7299  3.0985  1.1087  3.5704  2.4824  1.9871  1.8089  1.7326
 203  0.786990  3.7296  3.0797  1.1259  3.5321  2.4410  1.9444  1.7656  1.6888
 204  0.787130  3.7291  3.0601  1.1437  3.4927  2.3982  1.9003  1.7207  1.6434
 205  0.787266  3.7287  3.0401  1.1620  3.4522  2.3544  1.8551  1.6749  1.5970
 206  0.787397  3.7282  3.0197  1.1806  3.4108  2.3095  1.8088  1.6280  1.5495
 207  0.787525  3.7276  2.9986  1.1996  3.3692  2.2641  1.7618  1.5801  1.5010
 208  0.787650  3.7271  2.9772  1.2190  3.3271  2.2180  1.7140  1.5315  1.4517
 209  0.787770  3.7266  2.9554  1.2386  3.2845  2.1712  1.6655  1.4821  1.4016
 210  0.787887  3.7260  2.9333  1.2584  3.2417  2.1240  1.6163  1.4320  1.3507
 211  0.788001  3.7254  2.9108  1.2786  3.1987  2.0762  1.5665  1.3812  1.2992
 212  0.788112  3.7248  2.8881  1.2989  3.1549  2.0278  1.5161  1.3298  1.2470
 213  0.788219  3.7241  2.8650  1.3195  3.1114  1.9791  1.4651  1.2778  1.1942
 214  0.788322  3.7235  2.8416  1.3403  3.0678  1.9301  1.4137  1.2252  1.1408
