#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 226  0.778073  3.7277  2.8342  1.3590  2.9011  1.8731  1.3847  1.2001  1.1163
 227  0.778268  3.7265  2.7894  1.3990  2.8152  1.7783  1.2855  1.0987  1.0134
 228  0.778462  3.7250  2.7395  1.4432  2.7213  1.6739  1.1759  0.9866  0.8992
 229  0.778628  3.7238  2.6929  1.4847  2.6331  1.5757  1.0729  0.8813  0.7923
 230  0.778783  3.7224  2.6457  1.5264  2.5459  1.4776  0.9695  0.7753  0.6844
 231  0.778927  3.7210  2.5975  1.5692  2.4563  1.3769  0.8633  0.6667  0.5739
 232  0.779061  3.7195  2.5486  1.6126  2.3653  1.2748  0.7560  0.5570  0.4624
 233  0.779179  3.7182  2.5019  1.6539  2.2793  1.1777  0.6539  0.4524  0.3559
 234  0.779291  3.7167  2.4534  1.6966  2.1911  1.0775  0.5482  0.3443  0.2460
 235  0.779395  3.7151  2.4036  1.7398  2.1044  0.9773  0.4416  0.2348  0.1343
 236  0.779488  3.7135  2.3554  1.7818  2.0210  0.8803  0.3382  0.1285  0.0258
 237  0.779574  3.7119  2.3072  1.8236  1.9391  0.7841  0.2351  0.0223 -0.0826
 238  0.779653  3.7103  2.2582  1.8661  1.8571  0.6867  0.1303 -0.0858 -0.1929
 239  0.779727  3.7087  2.2097  1.9083  1.7771  0.5909  0.0267 -0.1927 -0.3022
 240  0.779794  3.7071  2.1616  1.9501  1.6988  0.4961 -0.0761 -0.2990 -0.4109
 241  0.779855  3.7054  2.1133  1.9918  1.6210  0.4014 -0.1789 -0.4051 -0.5193
 242  0.779911  3.7039  2.0667  2.0322  1.5461  0.3100 -0.2781 -0.5076 -0.6241
 243  0.779962  3.7023  2.0203  2.0724  1.4720  0.2191 -0.3768 -0.6096 -0.7285
 244  0.780009  3.7007  1.9741  2.1122  1.3998  0.1299 -0.4741 -0.7103 -0.8314
 245  0.780053  3.6991  1.9296  2.1504  1.3316  0.0447 -0.5674 -0.8070 -0.9304
 246  0.780093  3.6976  1.8877  2.1863  1.2673 -0.0350 -0.6549 -0.8976 -1.0232
 247  0.780130  3.6961  1.8449  2.2230  1.2017 -0.1159 -0.7441 -0.9901 -1.1182
 248  0.780165  3.6945  1.8019  2.2596  1.1370 -0.1965 -0.8331 -1.0826 -1.2133
 249  0.780196  3.6932  1.7660  2.2904  1.0835 -0.2639 -0.9077 -1.1601 -1.2929
 250  0.780227  3.6924  1.7438  2.3096  1.0500 -0.3061 -0.9542 -1.2083 -1.3423
 251  0.780257  3.6916  1.7185  2.3317  1.0111 -0.3549 -1.0079 -1.2639 -1.3992
 252  0.780286  3.6901  1.6748  2.3690  0.9485 -0.4359 -1.0981 -1.3577 -1.4957
 253  0.780313  3.6883  1.6265  2.4102  0.8824 -0.5245 -1.1976 -1.4614 -1.6023
 254  0.780336  3.6866  1.5806  2.4494  0.8220 -0.6085 -1.2921 -1.5601 -1.7038
 255  0.780359  3.6849  1.5351  2.4882  0.7643 -0.6910 -1.3856 -1.6577 -1.8041
 256  0.780400  3.6833  1.4905  2.5262  0.7098 -0.7713 -1.4772 -1.7535 -1.9027
 257  0.780418  3.6816  1.4466  2.5633  0.6607 -0.8479 -1.5661 -1.8471 -1.9990
 258  0.780435  3.6799  1.4033  2.5997  0.6150 -0.9221 -1.6532 -1.9391 -2.0939
 259  0.780451  3.6782  1.3609  2.6355  0.5715 -0.9940 -1.7385 -2.0293 -2.1872
 260  0.780465  3.6766  1.3193  2.6705  0.5307 -1.0636 -1.8214 -2.1174 -2.2782
 261  0.780479  3.6749  1.2789  2.7045  0.4922 -1.1309 -1.9020 -2.2029 -2.3668
 262  0.780491  3.6733  1.2387  2.7382  0.4554 -1.1970 -1.9815 -2.2875 -2.4544
 263  0.780503  3.6717  1.1997  2.7710  0.4206 -1.2610 -2.0586 -2.3695 -2.5394
 264  0.780513  3.6702  1.1612  2.8034  0.3873 -1.3237 -2.1344 -2.4503 -2.6232
 265  0.780523  3.6686  1.1235  2.8350  0.3559 -1.3846 -2.2083 -2.5291 -2.7050
 266  0.780532  3.6672  1.0867  2.8659  0.3263 -1.4436 -2.2803 -2.6060 -2.7847
 267  0.780541  3.6658  1.0507  2.8962  0.2986 -1.5008 -2.3505 -2.6811 -2.8629
 268  0.780549  3.6644  1.0150  2.9261  0.2728 -1.5566 -2.4196 -2.7552 -2.9398
 269  0.780556  3.6629  0.9802  2.9552  0.2496 -1.6100 -2.4865 -2.8271 -3.0147
 270  0.780564  3.6614  0.9454  2.9840  0.2301 -1.6614 -2.5520 -2.8981 -3.0889
 271  0.780570  3.6599  0.9112  3.0121  0.2133 -1.7107 -2.6158 -2.9673 -3.1614
 272  0.780576  3.6584  0.8779  3.0395  0.1983 -1.7582 -2.6779 -3.0349 -3.2323
 273  0.780582  3.6570  0.8453  3.0666  0.1854 -1.8038 -2.7383 -3.1010 -3.3017
 274  0.780587  3.6556  0.8130  3.0932  0.1740 -1.8482 -2.7978 -3.1663 -3.3702
 275  0.780592  3.6542  0.7817  3.1189  0.1645 -1.8906 -2.8553 -3.2294 -3.4367
